danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.584,0.25,6,-18.238,1,0.0451,0.943,0.905,0.102,0.261,102.032,audio_features,7C5d0TcLfpBp2o548m4gST,spotify:track:7C5d0TcLfpBp2o548m4gST,https://api.spotify.com/v1/tracks/7C5d0TcLfpBp2o548m4gST,https://api.spotify.com/v1/audio-analysis/7C5d0TcLfpBp2o548m4gST,199520,4
0.503,0.25,11,-20.708,1,0.0535,0.987,0.947,0.108,0.74,91.762,audio_features,0vWHu9P48X9iTyhEoJFLSY,spotify:track:0vWHu9P48X9iTyhEoJFLSY,https://api.spotify.com/v1/tracks/0vWHu9P48X9iTyhEoJFLSY,https://api.spotify.com/v1/audio-analysis/0vWHu9P48X9iTyhEoJFLSY,185834,4
0.703,0.375,10,-9.03,0,0.109,0.0215,0,0.097,0.0764,71.934,audio_features,20owhhiuYIj9JwP1O0tYf6,spotify:track:20owhhiuYIj9JwP1O0tYf6,https://api.spotify.com/v1/tracks/20owhhiuYIj9JwP1O0tYf6,https://api.spotify.com/v1/audio-analysis/20owhhiuYIj9JwP1O0tYf6,68389,4
0.664,0.375,2,-13.339,0,0.134,0.57,7.89E-06,0.155,0.572,86.393,audio_features,58YEPxpru3JMJNdScx67Qi,spotify:track:58YEPxpru3JMJNdScx67Qi,https://api.spotify.com/v1/tracks/58YEPxpru3JMJNdScx67Qi,https://api.spotify.com/v1/audio-analysis/58YEPxpru3JMJNdScx67Qi,224053,4
0.511,0.375,8,-20.924,0,0.0462,0.969,0.956,0.109,0.497,148.531,audio_features,5qwT6zMaa3vUol4iNJjxtJ,spotify:track:5qwT6zMaa3vUol4iNJjxtJ,https://api.spotify.com/v1/tracks/5qwT6zMaa3vUol4iNJjxtJ,https://api.spotify.com/v1/audio-analysis/5qwT6zMaa3vUol4iNJjxtJ,197337,4
0.303,0.375,4,-13.292,0,0.0387,0.597,0.371,0.136,0.178,105.364,audio_features,6nBZszSlPXk0deZf3UKRCZ,spotify:track:6nBZszSlPXk0deZf3UKRCZ,https://api.spotify.com/v1/tracks/6nBZszSlPXk0deZf3UKRCZ,https://api.spotify.com/v1/audio-analysis/6nBZszSlPXk0deZf3UKRCZ,292360,4
0.472,0.375,8,-5.608,1,0.0412,0.91,0,0.11,0.378,87.067,audio_features,07WjTgxSc58EGhbunoPOhz,spotify:track:07WjTgxSc58EGhbunoPOhz,https://api.spotify.com/v1/tracks/07WjTgxSc58EGhbunoPOhz,https://api.spotify.com/v1/audio-analysis/07WjTgxSc58EGhbunoPOhz,288889,4
0.493,0.375,8,-12.203,1,0.162,0.321,0,0.106,0.424,172.035,audio_features,29GJ3TRHcXmShUUd9TWuZZ,spotify:track:29GJ3TRHcXmShUUd9TWuZZ,https://api.spotify.com/v1/tracks/29GJ3TRHcXmShUUd9TWuZZ,https://api.spotify.com/v1/audio-analysis/29GJ3TRHcXmShUUd9TWuZZ,178947,4
0.257,0.375,10,-9.604,1,0.035,0.526,3.53E-05,0.201,0.297,164.011,audio_features,2WUkTmwV68w0yANc2KHLwu,spotify:track:2WUkTmwV68w0yANc2KHLwu,https://api.spotify.com/v1/tracks/2WUkTmwV68w0yANc2KHLwu,https://api.spotify.com/v1/audio-analysis/2WUkTmwV68w0yANc2KHLwu,132000,4
0.825,0.375,0,-10.632,1,0.268,0.707,0,0.142,0.442,99.905,audio_features,0ApT43S5FHjVFK8aXj2goK,spotify:track:0ApT43S5FHjVFK8aXj2goK,https://api.spotify.com/v1/tracks/0ApT43S5FHjVFK8aXj2goK,https://api.spotify.com/v1/audio-analysis/0ApT43S5FHjVFK8aXj2goK,284682,4
0.451,0.375,9,-6.159,1,0.0297,0.862,0,0.103,0.198,134.648,audio_features,5I99tbhFK4ZeMeHNA1Ygig,spotify:track:5I99tbhFK4ZeMeHNA1Ygig,https://api.spotify.com/v1/tracks/5I99tbhFK4ZeMeHNA1Ygig,https://api.spotify.com/v1/audio-analysis/5I99tbhFK4ZeMeHNA1Ygig,286000,4
0.65,0.375,0,-15.737,1,0.0281,0.11,0.62,0.0691,0.846,110.009,audio_features,600U5X0rJr36peREzUXVAn,spotify:track:600U5X0rJr36peREzUXVAn,https://api.spotify.com/v1/tracks/600U5X0rJr36peREzUXVAn,https://api.spotify.com/v1/audio-analysis/600U5X0rJr36peREzUXVAn,177230,4
0.835,0.375,1,-12.354,1,0.188,0.234,1.98E-05,0.108,0.378,96.486,audio_features,3QDvZOCeOuoa1VI7Vxj681,spotify:track:3QDvZOCeOuoa1VI7Vxj681,https://api.spotify.com/v1/tracks/3QDvZOCeOuoa1VI7Vxj681,https://api.spotify.com/v1/audio-analysis/3QDvZOCeOuoa1VI7Vxj681,257907,4
0.698,0.375,5,-12.21,1,0.184,0.648,0,0.096,0.589,171.953,audio_features,4M0LEvS6iW5ysQso0o4hNJ,spotify:track:4M0LEvS6iW5ysQso0o4hNJ,https://api.spotify.com/v1/tracks/4M0LEvS6iW5ysQso0o4hNJ,https://api.spotify.com/v1/audio-analysis/4M0LEvS6iW5ysQso0o4hNJ,184186,4
